(111900, 0.57082987474015556),
 (470260, 0.5805114246678903),
 (95447, 0.6244813045550115),
 (299306, 0.62680960603461477),
 (169270, 0.63099199680208717),
 (358501, 0.63812444296578785),
 (172936, 0.64374111614503959),
 (546037, 0.64735737398127591),
 (1070, 0.65324326022194978),
 (475477, 0.65700562683601915),
 (290485, 0.65759479191963888),
 (307522, 0.68074447818094797),
 (149768, 0.68586794299479426),
 (640456, 0.68865151508849687),
 (542746, 0.69215373082670462),
 (98338, 0.69860053901222441),
 (218658, 0.69906705052470186),
 (20158, 0.70450483702337729),
 (141264, 0.70746599011470901),
 (183302, 0.71211672048873143),
 (76204, 0.71252812624263562),
 (3717, 0.71389696117146073),
 (38020, 0.71416852079815119),
 (526974, 0.71488197561342071),
 (356024, 0.71609837428072021),
 (525487, 0.72067344540484213),
 (84378, 0.72312341543413672),
 (623396, 0.72704558971350008),
 (660649, 0.72802253962870789),
 (45472, 0.7300207453550065),
 (664352, 0.73257566284555975),
 (564632, 0.73394248942928664),
 (306533, 0.73409920939962681),
 (314882, 0.73617105612559497),
 (170658, 0.73634162792500524),
 (615955, 0.73768904470401964),
 (500603, 0.7380563111236127),
 (262182, 0.7381329575935015),
 (1468, 0.74045712137724218),
 (474475, 0.7411342524210206),
 (178053, 0.74395476515573289),
 (156636, 0.74395646151759565),
 (10697, 0.74417478000369675),
 (507158, 0.74680333531191656),
 (72101, 0.74847032709318284),
 (213073, 0.74889878019205425),
 (137972, 0.751456100288312),
 (387878, 0.75217805401490567),
 (123981, 0.75255867465010728),
 (216193, 0.75258362395540046),
 (122458, 0.75406099883588484),
 (371990, 0.75696507373792077),
 (31927, 0.76152382374153615),
 (590329, 0.76414707888793454),
 (433857, 0.76491540641836719),
 (517635, 0.76497962810876108),
 (608053, 0.77185969775203089),
 (540985, 0.77286524362527786),
 (493437, 0.77657667510877604),
 (166171, 0.77704402922451787),
 (51869, 0.77764863949578922),
 (355700, 0.7793520279230306),
 (600502, 0.77965587890912313),
 (211228, 0.78025404746187743),
 (282264, 0.78199229406758708),
 (154365, 0.78219140386059804),
 (103598, 0.78295806301411652),
 (678054, 0.78482570746287195),
 (417284, 0.78920131476725941),
 (18574, 0.78939382931201141),
 (283420, 0.79067716538653632),
 (488432, 0.79234239465525269),
 (147592, 0.7934597373758896),
 (148297, 0.79480384007852312),
 (363484, 0.79507478560698375),
 (264792, 0.79671404704549831),
 (179446, 0.79703814569809872),
 (423991, 0.79941386229537592),
 (221037, 0.80009929216403608),
 (368727, 0.80121028962930729),
 (211909, 0.80149043153320054),
